Peak_Coordinates	BCL11A	CTCF	CTCFL	DNMT1	ETS2	GTF2I	GTF3A	IRF2	KLF1	KLF10	KLF11	KLF13	KLF15	KLF16	KLF2	KLF4	KLF5	KLF7	KLF9	LYL1	MAZ	MZF1	PATZ1	PRDM6	RBAK	RREB1	SALL2	SALL4	SP1	SP2	SP4	SP5	SP7	SP8	SP9	STAT2	TAL1	TCF12	VEZF1	WT1	ZBTB17	ZBTB7A	ZBTB7C	ZFP14	ZFP28	ZFP57	ZFP64	ZFP69B	ZFX	ZFY	ZNF121	ZNF124	ZNF132	ZNF169	ZNF180	ZNF181	ZNF182	ZNF189	ZNF202	ZNF205	ZNF219	ZNF23	ZNF263	ZNF267	ZNF281	ZNF283	ZNF30	ZNF304	ZNF311	ZNF341	ZNF354C	ZNF37A	ZNF384	ZNF394	ZNF398	ZNF436	ZNF441	ZNF444	ZNF467	ZNF484	ZNF513	ZNF527	ZNF530	ZNF543	ZNF548	ZNF557	ZNF566	ZNF571	ZNF596	ZNF613	ZNF658	ZNF682	ZNF71	ZNF766	ZNF77	ZNF770	ZNF774	ZNF776	ZNF786	ZNF823	ZNF84	ZNF846	ZNF860	ZSCAN22	ZSCAN30
chr12_93093839_93094340	0	0	0	0	0	0.216	0.181	0	0.9815	0	0.9795	0	0	0	0.792	0	0	0	0	0	0.9815	0	0.148	0	0	0	0.9875	0	0	0	0	0	0.5385	0	0	0	0	0	0.132	0	0.1825	1	0	0	0	0.585	0	0	0	0.186	0	0	0.951	0.7135	0.887	0	0	0	0	0.237	0.281	0	0.9975	0	0	0	0	0.9995	0	0.135	0.823	0.4155	0	0	0.768	0	0	0.535	0.866	0.745	0	0	0.634	0.681	0	0	0	0	0.7925	0	0.66	0	0	0	0	0	0	0	0.9945	0	0	0.391	0	0	0
chr12_93130025_93130526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283	0	0	0	0	0	0.478	0	0.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8335	0.472	0.4975	0	0	0.603	0	0	0	0.9675	0.1895	0	0	0	0	0	0.749	0	0	0.756	0	0	0	0	0	0	0	0	0	0	0.969	0	0	0	0	0
chr12_96758336_96758837	0.498	0.2375	0.458	0.1385	0.6245	0	0	0	0.9625	0.8605	0.8125	0	0.138	0	0	0.3075	0.477	0.1945	0	0	0.1245	0	0	0.3235	0.226	0	0	0	0	0.193	0	0	0	0	0	0	0	0	0.3305	0.9325	0.4315	0.6505	0	0	0	0.2065	0	0	0	0	0	0	0.4415	0.282	0.1255	0	0	0	0.7725	0	0	0	0.7075	0.6185	0.193	0	0.2905	0.666	0.196	0.8275	0	0	0	0	0	0	0.6385	0	0.5565	0.9325	0	0.3	0.4715	0	0.55	0	0.894	0.221	0	0	0	0	0.4025	0	0	0.455	0.296	0	0.8325	0.661	0.1805	0.7945	0	0	0
chr12_100636467_100636968	0	0	0	0	0	0	0	0.644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198	0	0	0	0	0.368	0	0	0.3945	0.3485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6495	0.2175	0	0	0	0	0	0	0	0	0	0	0.663	0	0	0.177	0	0	0
chr12_110164824_110165325	0	0	0	0	0	0.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6495	0	0	0	0	0	0	0	0	0	0	0	0.577	0.703	0.647	0	0	0	0	0	0	0.7705	0	0	0	0	0	0.4155	0	0	0	0	0	0.2585	0	0.246	0.2315	0	0	0	0	0	0	0	0	0	0	0	0	0.4525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4505	0	0	0	0	0.8555	0	0	0	0	0	0	0	0	0.1655	0
chr12_111040291_111040792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.929	0	0	0	0	0	0	0	0	0	0	0	0.2225	0	0	0	0	0	0	0	0	0.86	0	0	0	0	0	0	0	0	0	0	0	0.696	0	0	0	0	0	0	0	0	0	0	0	0.9975	0	0	0	0.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5935	0	0	1	0	0	0	0	0	0	0	0.841	0	0	0	0
chr12_118270731_118271232	0	0.997	0.9945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.998	0	0	0	0	0	0.8645	0	0.9775	0	0	0	0	0	0	0	0	0	0	0	0.927	0	0	0	0	0	0	0	0	0.564	0	0	0	0	0	0	0.181	0.9995	0.1525	0	0	0.4045	0	0	0	0	0.549	0	0	0	0	0	1	0	0	0
chr12_118302099_118302600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4005	0	0	0	0	0	0	0	0	0.2295	0	0	0	0	0	0.955	0	0	0	0	0	0	0	0.9385	0	0	0	0	0	0	0	0.1955	0	0	0	0	0	0	0	0	0.554	0.878	0	0	0	0	0.8935	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_119065364_119065865	0	0	0	0	0	0	0	0	0	0	0	0.755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0.3605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.539	0	0	0	0	0.2155	0	0	0	0	0	0	0	0	0	0	0.683	0	0	0
chr12_123820787_123821288	0	0	0	0	0	0.9625	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.84	0	0	0	0.9785	0	0.9985	0	0	0	0	0	0	0	0	0	0	0	0.9945	0	0.731	0	0	0	0	0	0	0	0	0	0	0	0.161	0.821	0	0	0.9665	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.828	0	0	0	0	0.999	0	0	0.172	0	0	0.5975	0	0	0	0.347	0	0	0.255	0	0	0	0	0	0.8025	0	0	0	0	0	0
chr12_123966984_123967485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.979	0.7495	0	0	0	0	0	0	0	0.981	0	0	0	0	0	0	0.319	0	0	0
chr12_123965672_123966173	0	0	0	0	0	0	0	0	0.46	0.1545	0.678	0	0	0	0	0	0.8675	0	0	0	0.2525	0	0	0	0	0	0.9965	0.8385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.802	0.748	0	0	0	0.175	0	0	0	0.7295	0	0	0	0.921	0.969	0	0	0	0	0	0.6605	0	0	0	0	0	0	0	0	0.549	0	0.441	0	0.2285	0.4645	0	0	0.7195	0	0	0	0	0	0	0	0	0	0	0.4135	0	0	0
chr12_124036015_124036516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9755	0	0	0	0.1535	0.4505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305	0	0	0	0	0	0	0	0	0	0	0	0	0.8395	0	0	0.913	0	0	0	0	0	0	0	0
chr12_124455030_124455531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178	0	0	0	0	0	0	0	0	0	0	0.9905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.669	0	0.9715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_125269699_125270200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	0.9715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5725	0	0	0	0	0	0	0	0	0	0	0
chr12_125307490_125307991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.874	0	0	0	0	0	0	0	0	0	0	0	0	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_125633829_125634330	0	0	0	0	0	0	0	0	0.484	0.4365	0	0.6485	0.728	0.819	0	0	0.644	0.233	0.7515	0	0	0	0	0.2725	0	0	0	0	0.6075	0	0.783	0.1835	0	0.351	0.343	0	0	0	0	0	0	0	0	0	0.744	0	0	0	0.619	0.1925	0	0	0	0	0	0	0.6345	0	0	0	0	0	0	0	0	0.163	0.522	0	0.407	0	0	0	0.58	0	0	0	0	0	0.2745	0	0	0	0	0	0	0	0	0.2155	0	0.262	0	0.298	0	0	0	0	0.329	0	0	0	0	0	0	0	0.214
chr12_125725470_125725971	0	0.3985	0	0	0	0	0	0	0	0.395	0	0	0.2925	0.4395	0	0	0.6375	0	0	0	0	0	0.635	0	0	0	0	0	0	0.358	0	0.65	0	0	0	0	0	0	0.3995	0.6675	0.5645	0	0	0	0	0	0	0	0.644	0	0	0	0.2545	0	0.501	0	0	0	0	0	0	0	0	0.36	0.535	0.46	0.5465	0.134	0.147	0	0	0	0	0	0	0	0	0.153	0	0	0	0	0.163	0.3065	0.69	0.479	0.3425	0.2185	0	0	0	0	0	0	0	0	0.1795	0	0	0	0	0.2755	0	0	0
chr12_126843566_126844067	0	0	0	0.9995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926	0	0	0	0	0	0	0	0	0	0	0	0.5535	0	0	0	0	0.8585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_126895560_126896061	0	0	0	0	0	0	0	0	0	0	0	0	0.947	0	0	0	0	0	0	0	0	0	0	0	0.2125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.872	0	0	0	0	0	0	0	0	0	0	0	0	0.814	0	0	0.452	0	0	0
chr12_127375447_127375948	0	0	0	0	0	0	0	0.845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2295	0	0	0	0	0	0	0	0	0.8535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753	0	0	0	0	0
chr12_128088229_128088730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.853	0	0	0	0	0	0	0	0	0	0	0.9765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.672	0	0	0	0	0	0	0.5345	0	0	0	0	0	1	0	0	0.919
chr12_128151756_128152257	0	0	0	0	0	0.9995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.418	0.3705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0	0	0	0	0	0	0	0	0.918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.898	0	0
chr12_128184858_128185359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906	0	0	0	0	0	0	0	0	0.962	0	0	0	0	0	0	0	0.99	0.871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0.849	0	0	0.858
chr13_15152689_15153190	0.926	0	0	0	0	0	1	0.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.604	0	0	0	0	0	0	0	0	0	0	0	0.833	0	0	0	0	0	0	0	0	0.9405	0	0	0	0	0	0	0.9865	0	0	0	0	0.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2635	0	0	0	0	0	0	0	0.7045	0	0	0	0
chr13_15169734_15170235	0	0	0	0	0.9075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8905	0	0.994	0	0	0	0	0	0	0	0	0.2985	0	0	0.1215	0.1355	0.274	0.619	0	0	0.645	0	0	0	0.3335	0	0	0	0	0	0	0	0.373	0	0	0.132	0.9995	0	0	0	1	0	0	0	0	0	0	0.2235	0	0.7035	0	0	0	0	0	0	0	0.188	0	0	0	0	0	0	0	0	0
chr13_15278969_15279470	0	0	0	0	0	0	0	0	0	0.1775	0	0	0.2375	0	0	0	0	0	0	0	0	0.201	0	0	0	0	0.5025	0.266	0	0.437	0	0.153	0	0	0	0	0	0	0	0	0.632	0	0	0	0	0	0	0	0	0	0	0	0	0.2765	0.4395	0	0	0	0.2545	0	0	0	0	0	0	0.702	0	0.228	0	0	0	0	0	0	0	0	0.585	0	0.651	0	0	0	0	0	0	0	0	0.2205	0.21	0	0.246	0.4335	0	0	0.7795	0.281	0.411	0	0	0	0	0	0	0	0
chr13_15883403_15883904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256	0	0	0	0	0	0	0	0	0	0	0	0.524	0	0	0	0	0	0	0	0	0.822	0	0	0	0	0	0.5225	0	0	0	0	0.933	0.853	0	0	0	0	0	0	0	0	0	0.1715	0	0	0	0	0	0.9965	0	0	0	0	0	0	0	0	0.1405	0	0	0	0	0	0.659	0	0.8705	0	0	0	0	0	0.2435	0	0	0	0	0	0	0	0	0
chr13_44760677_44761178	0	0	0	0.1915	0	0.238	0	0	0.314	0.4755	0	0	0	0	0.5765	0	0	0.2295	0.273	0	0	0	0	0.2125	0	0	0.4275	0	0.9805	0	0	0	0.4155	0	0	0.2065	0	0	0.1665	0.238	0.396	0	0	0	0	0.1475	0	0	0.6005	0	0	0	0	0.168	0.48	0	0.4295	0	0.558	0	0.69	0	0	0	0	0	0.674	0.518	0.51	0	0	0	0.2195	0	0	0	0	0	0.1965	0	0	0	0	0.693	0.5555	0.451	0	0.5965	0	0.427	0	0	0.738	0	0	0	0.284	0.4515	0	0	0.5475	0.2535	0.3065	0	0
chr13_52698120_52698621	0	0.2935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.475	0	0	0	0	0	0	0	0	0	0	0	0	0.1795	0	0	0	0.1555	0	0	0	0.2975	0	0	0	0	0	0	0	0.613	0	0	0
chr13_52736344_52736845	0	0	0	0.1355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4275	0.8375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5565	0	0.7635	0.2815	0	0	0	0.7235	0.295	0	0	0	0	0	0.2525	0	0.3065	0	0	0	0.338	0	0	0	0.274	0	0	0.464	0	0.1525	0.7635	0.2965	0	0	0	0.793	0.64	0	0	0.548	0.392	0	0	0	0.736	0	0.2645	0	0	0.158	0	0	0.1375	0	0.1535	0	0	0.2125	0.242	0	0.594	0.4375	0	0.34	0	0	0.603
chr13_61614128_61614629	0	0	0	0	0.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.921	0	0	0	0.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0.769	0	0.3505	0	0	0	0	0	0	0	0	0	0	0.87	0	0	0.2855	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2145	0	0	0	0	0	0.3855	0	0	0.121	0.3645	0.1875	0	0	0.7845	0	0	0	0	0	0.301	0	0	0	0	0	0	0	0	0	0.36	0.876	0	0.2155	0	0	0.667
chr13_61741579_61742080	0.8505	0	0	0	0.7575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1385	0	0	0	0.2605	0	0	0	0	0	0	0	0	0	0	0	0.457	0	0	0.7435	0	0	0	0.998	0	0.729	0	0	0	0	0	0	0	0	0	0.9605	0	0	0	0	0	0	0.4645	0	0	0	0	0	0	0	0.9155	0.857	0	0.981	0	0.9495	0	0	0	0.3315	0	0	0	0	0	0	0.9605	0	0	0	0.667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13_62254517_62255018	0	0	0	0	0	0	0	0	0.35	0.259	0	0	0	0	0	0	0.5385	0	0.626	0	0.318	0	0.494	0	0	0	0	0	0.345	0	0	0	0	0	0	0	0	0	0.2705	0.2095	0.4675	0	0.3285	0	0	0.338	0.6945	0	0.14	0	0	0	0.567	0	0.761	0	0	0	0.6535	0	0	0.746	0.5665	0.297	0.637	0.3965	0.318	0.2575	0	0.54	0	0	0	0.197	0	0	0	0	0.236	0.145	0	0	0.5335	0.5105	0.4565	0	0	0.432	0	0	0.746	0	0.598	0	0	0.7945	0.4835	0	0	0	0	0.216	0	0	0
chr13_64522644_64523145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13_70167894_70168395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.992	0	0	0.6005	0	0	0.964	0	0.963	0	0	0	0.9495	0	0	0	0	0	0	0	0	0	0	0	0.5835	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0.986	0.9995	0.54	0	0.9395	0	0	0	0	0	0.913	0.7005	0	0	0	0	0	0	0	0
chr13_72339061_72339562	0.979	0	0	0	0.1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5695	0	0	0.8995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9605	0	0	0	0	0	0	0	0	0	0	0	0
chr13_85461101_85461602	0	0	0	0	0	0	0	0	0	0	0.598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0.5115	0	0	0	0	0.4605	0.3065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6085	0	0	0	0	0	0	0	0	0	0.8895	0	0	0.1535	0	0	0	0	0	0
chr13_85484624_85485125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9975	0	0	0	0	0.9305	0	0	0	0	0	0	0	0	0.5285	0.9605	0	0	0	0	0	0.226	0	0	0	0	0	0	0	0	0	0	0	0.723	0	0	0	0	0	0	0.833	0	0	0	0	0	0	0.1375	0.162	0	0	0	0.7415	0	0	0	0	0.5295	0.311	0	0.5085	0	0.999	0	0	0	0
chr13_85485129_85485630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191	0	0.9235	0	0	0	0	0.911	0	0	0	0	0	0	0	0.9725	0	0	0	0	0.4575	0	0	0	0.1525	0	0	0	0	0	0	0.3265	0	0	0	0	0	0	0	0	0	0.859	0	0	0	0	0	0	0	0	0.255	0	0	0	0	0	0	0	0.2235	0	0	0	0	0	0	0.1495	0
chr13_85517802_85518303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9455	0	0	0	0	0	0.1835	0	0	0	0	0	0	0	0	0	0	0.873	0	0	0	0	0	0	0	0.249	0	0	0	0	0	0	0.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0.849	0	0	0	0	0
chr13_98187231_98187732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3355	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0.7975	0	0	0	0	0	0	0	0	0.9475	0	0	0.4815	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0	0.3205	0	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6425	0	0	0	0	0.49	0	0.876	0	0	0	0	0.9675	0	0	0
chr13_101739198_101739699	0	0	0	0	0.9555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9875	0	0	0	0	0	0	0	0	0	0	0	0
chr13_101767865_101768366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.881	0	0	0	0	0	0	0	0	0	0	0	0	0.561	0	0	0	0.2245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5965	0	0	0.2255	0	0.2445	0	0	0	0	0.7205	0	0	0	0	0	0	0.239	0	0
chr14_5503901_5504402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129	0	0	0	0	0	0	0	0	0	0	0.367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0.9145	0	0	0	0	0	0.961	0	0	0	0	0	0	0	0.5645	0	0	0	0.7915	0.951	0	0	0	0	0	0	0	0	0	0	0	0	0.7545	0.1875	0	0	0.7245	0	0	0	0.2485	0	0	0	0	0	0	0	0.9895	0	0	0
chr14_5703467_5703968	0	0.2695	0	0	0	0.6495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8105	0	0	0	0	0	0.5905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.349	0	0	0	0	0	0	0	0	0.1215	0	0	0	0.666	0	0	0	0	0	0	0	0	0.361	0	0	0	0.6925	0	0	0	0	0	0.2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462	0	0	0.352	0	0	0
chr14_9913504_9914005	0	0.949	0.288	0	0	0.1395	0	0	0.408	0.279	0	0.817	0.557	0.532	0.1985	0.46	0.4015	0.677	0.6805	0	0.7645	0	0	0	0	0.178	0.4525	0.152	0.1205	0	0.9385	0	0	0	0.629	0	0	0	0.4865	0.536	0.7775	0.359	0	0	0	0.339	0	0	0	0	0	0	0.412	0	0.1555	0	0	0	0.1545	0	0.2125	0	0	0	0.4445	0	0.8255	0.25	0	0.849	0	0.425	0	0	0	0	0.2765	0.216	0.2455	0.7775	0	0	0.6675	0	0	0	0.4085	0	0	0	0.141	0	0	0	0	0	0.2675	0	0.588	0	0.5205	0.2175	0	0	0
chr14_9935521_9936022	0.753	0	0	0	0	0	0	0.681	0.9135	0.56	0	0	0	0.6185	0	0	0	0.3045	0.309	0	0	0	0	0.638	0.6015	0	0	0	0	0	0	0	0.701	0.605	0	0.4605	0	0	0.2395	0.3395	0	0	0.834	0	0.3155	0	0	0	0.416	0	0	0	0	0.441	0	0	0.6115	0	0	0.285	0.3515	0	0	0	0	0	0	0.541	0	0	0	0.3645	0.7165	0	0	0	0	0	0.4295	0	0	0	0	0	0	0	0	0	0	0.7235	0	0	0.9825	0	0	0.575	0.4185	0	0	0	0.2835	0	0	0	0
chr14_10167498_10167999	0	0	0	0	0	0	0	0	0	0.9235	0	0	0	0	0	0	0	0	0.768	0	0.443	0	0	0	0	0	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0.912	0	0	1	0	0	0	0	0	0	0	0	0	0.9545	0.396	0	0	0	0	0.16	0	0	0	0	0.591	0	0	0	0	0.9985	0	0	0	0	0	0	0	0	0.309	0	0	0	0	0	0	0.886	0	0	0	0	0.7605	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_14866780_14867281	0	0	0	0	0	0	0	0	0	0.318	0	0.1305	0	0	0	0	0	0	0.7375	0	0	0	0	0	0	0	0.378	0.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983	0	0	0	0	0	0	0	0	0	0.691	0	0	0	0	0	0	0	0	0.759	0	0	0	0	0	0	0	0	0	0	0.8405	0.6055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.792	0	0	0	0	0	0.1445	0	0	0
chr14_16041774_16042275	0	0	0	0	0	1	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0.284	0	0	0.9985	0.9995	0	0	0	0	0	0	0.334	0.9855	0	0	0	0	0	1	0.7635	1	0	0	1	0	0	0	0	0	0	0	0	0.9985	0.9605	0.5065	0	0	0	0.9985	0	0	0	0	0	0	0	0.989	0.9955	0.8785	0.5045	0	0	0	0	0.449	0	0	0	0.9335	0	0	0	0	0	0	0	0	0.4025	0	0	0	0	0.8985	0	0.604	0	0.999	0	0.9165	0	0	0.872	0	0	0
